AÑO,TRIMESTRE,PROVEEDOR,DEPARTAMENTO,MUNICIPIO,CABECERA MUNICIPAL,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2018,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,REPELÓN,S,REPELÓN,S,S,S,N,N,N
2015,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,N,SAN JUAN DE TOCAGUA,N,N,N,N,N,N
2019,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,BARANOA,N,CAMPECHE,N,N,N,N,S,N
2019,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,CAMPO DE LA CRUZ,S,CAMPO DE LA CRUZ,S,S,S,N,N,N
2018,4,AVANTEL S.A.S,ATLÁNTICO,PIOJÓ,S,PIOJÓ,S,N,N,N,N,N
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,PUERTO COLOMBIA,N,SALGAR,N,S,S,N,N,N
2016,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,GALAPA,S,GALAPA,S,S,S,N,N,N
2019,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SABANAGRANDE,S,SABANAGRANDE,S,S,S,N,S,N
2016,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,BARANOA,N,PITAL,S,S,N,N,N,N
2015,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,SOLEDAD,S,SOLEDAD,S,S,N,N,S,N
2018,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SABANALARGA,N,AGUADA DE PABLO,S,S,S,N,N,N
2017,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PALMAR DE VARELA,S,PALMAR DE VARELA,S,S,S,N,S,N
2020,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,SABANALARGA,N,AGUADA DE PABLO,N,N,N,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,MALAMBO,N,LA AGUADA,S,S,N,N,N,N
2020,3,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,JUAN DE ACOSTA,N,SAN JOSÉ DE SACO,N,S,S,N,N,N
2020,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,BARRANQUILLA,N,JUAN MINA,S,S,S,N,N,N
2019,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,MANATÍ,N,EL PORVENIR (LAS COMPUERTAS),S,S,S,N,S,N
2017,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,BARANOA,S,BARANOA,S,S,S,N,S,N
2020,4,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,JUAN DE ACOSTA,S,JUAN DE ACOSTA,S,S,S,N,S,N
2016,4,UNE EPM TELECOMUNICACIONES S.A.,ATLÁNTICO,MALAMBO,S,MALAMBO,N,N,N,N,S,N
2016,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SABANALARGA,N,AGUADA DE PABLO,S,S,N,N,N,N
2020,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,JUAN DE ACOSTA,N,SANTA VERÓNICA,S,S,N,N,N,N
2020,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,MALAMBO,N,CARACOLÍ,S,S,S,N,S,N
2016,1,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SABANALARGA,S,SABANALARGA,S,S,S,N,S,N
2016,2,ALMACENES EXITO INVERSIONES S.A.S.,ATLÁNTICO,SANTO TOMÁS,S,SANTO TOMÁS,S,S,S,N,S,N
2017,1,AVANTEL S.A.S,ATLÁNTICO,BARRANQUILLA,S,BARRANQUILLA,S,N,N,N,S,N
2017,3,AVANTEL S.A.S,ATLÁNTICO,PIOJÓ,S,PIOJÓ,S,N,N,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PIOJÓ,N,AGUAS VIVAS,S,N,N,N,N,N
2017,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,REPELÓN,N,CIEN PESOS,S,N,N,N,N,N
2017,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,BARRANQUILLA,N,JUAN MINA,S,S,S,N,N,N
2017,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PUERTO COLOMBIA,N,COUNTRY MAR,S,S,N,N,N,N
2015,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,BARANOA,S,BARANOA,S,S,S,N,S,N
2020,3,AVANTEL S.A.S,ATLÁNTICO,SUAN,S,SUAN,N,N,N,N,N,N
2015,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,LURUACO,N,LOS PENDALES,N,S,N,N,N,N
2017,1,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,MALAMBO,N,CARACOLÍ,S,S,S,N,N,N
2018,4,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SUAN,S,SUAN,S,S,S,N,S,N
2019,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,N,LOS LÍMITES,N,N,N,N,N,N
2017,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,JUAN DE ACOSTA,N,SAN JOSÉ DE SACO,N,S,S,N,N,N
2018,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,PUERTO COLOMBIA,S,PUERTO COLOMBIA,S,S,N,N,S,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,MALAMBO,N,CARACOLÍ,S,S,S,N,S,N
2019,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,REPELÓN,S,REPELÓN,S,S,S,N,S,N
2019,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,REPELÓN,N,VILLA ROSA,S,S,S,N,N,N
2019,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,N,ARROYO DE PIEDRA,S,S,S,N,S,N
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,PUERTO COLOMBIA,N,SABANILLA (MONTE CARMELO),S,S,S,N,N,N
2017,3,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,POLONUEVO,N,PITAL DEL CARLÍN (PITALITO),S,S,S,N,N,N
2020,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,PUERTO COLOMBIA,S,PUERTO COLOMBIA,N,N,N,N,S,N
2016,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PONEDERA,N,LA RETIRADA,N,N,N,N,N,N
2016,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,JUAN DE ACOSTA,N,SAN JOSÉ DE SACO,N,S,S,N,N,N
2017,2,AVANTEL S.A.S,ATLÁNTICO,TUBARÁ,S,TUBARÁ,N,N,N,N,N,N
2020,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,PIOJÓ,S,PIOJÓ,S,S,S,N,N,N
2016,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,CANDELARIA,S,CANDELARIA,S,S,S,N,N,N
2018,3,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,POLONUEVO,N,PITAL DEL CARLÍN (PITALITO),S,S,S,N,N,N
2016,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,N,ARROYO DE PIEDRA,S,N,N,N,N,N
2016,1,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SANTO TOMÁS,S,SANTO TOMÁS,S,S,S,N,S,N
2020,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,SANTA LUCÍA,S,SANTA LUCÍA,N,N,N,N,S,N
2018,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,POLONUEVO,S,POLONUEVO,N,N,N,N,S,N
2017,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PUERTO COLOMBIA,S,PUERTO COLOMBIA,S,S,S,N,N,N
2017,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PIOJÓ,N,AGUAS VIVAS,S,N,N,N,N,N
2020,4,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SOLEDAD,S,SOLEDAD,S,S,S,N,S,N
2018,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,TUBARÁ,N,EL MORRO,S,S,N,N,N,N
2020,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,GALAPA,S,GALAPA,N,N,N,N,S,N
2016,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,PALMAR DE VARELA,S,PALMAR DE VARELA,S,S,S,N,S,N
2019,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,REPELÓN,N,LAS TABLAS,S,S,S,N,N,N
2018,3,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,JUAN DE ACOSTA,N,SANTA VERÓNICA,S,S,S,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,SABANALARGA,N,MIRADOR,N,N,N,N,N,N
2019,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,BARANOA,N,SIBARCO,S,S,S,N,N,N
2015,4,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SUAN,S,SUAN,S,S,S,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,JUAN DE ACOSTA,S,JUAN DE ACOSTA,S,S,S,N,N,N
2015,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PONEDERA,N,LA RETIRADA,N,N,N,N,N,N
2018,4,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,LURUACO,S,LURUACO,S,S,S,N,S,N
2016,2,AVANTEL S.A.S,ATLÁNTICO,BARRANQUILLA,S,BARRANQUILLA,S,N,N,N,N,N
2019,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PONEDERA,N,SANTA RITA,S,S,S,N,N,N
2020,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,REPELÓN,S,REPELÓN,S,S,S,N,S,N
2019,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SANTA LUCÍA,S,SANTA LUCÍA,S,S,S,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,REPELÓN,N,PITA,S,S,N,N,N,N
2020,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,BARRANQUILLA,S,BARRANQUILLA,S,S,N,N,S,N
2017,2,AVANTEL S.A.S,ATLÁNTICO,MANATÍ,S,MANATÍ,N,N,N,N,N,N
2016,4,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,TUBARÁ,S,TUBARÁ,S,S,S,N,N,N
2016,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,N,LA PUNTICA,S,N,N,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,SABANALARGA,N,MIRADOR,N,N,N,N,N,N
2017,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,TUBARÁ,S,TUBARÁ,S,S,S,N,N,N
2019,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,LURUACO,N,ARROYO DE PIEDRA,S,S,N,N,N,N
2015,4,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,USIACURÍ,S,USIACURÍ,S,S,S,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,REPELÓN,N,ROTINET,S,S,S,N,N,N
2016,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,TUBARÁ,N,GUAIMARAL,S,N,N,N,N,N
2015,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,TUBARÁ,N,JUARUCO,S,N,N,N,N,N
2017,4,AVANTEL S.A.S,ATLÁNTICO,SANTO TOMÁS,S,SANTO TOMÁS,S,N,N,N,N,N
2017,4,AVANTEL S.A.S,ATLÁNTICO,PUERTO COLOMBIA,S,PUERTO COLOMBIA,S,N,N,N,S,N
2018,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,MANATÍ,S,MANATÍ,S,S,S,N,N,N
2016,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,PUERTO COLOMBIA,N,SABANILLA (MONTE CARMELO),S,S,N,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,POLONUEVO,S,POLONUEVO,S,S,S,N,N,N
2018,2,AVANTEL S.A.S,ATLÁNTICO,SUAN,S,SUAN,N,N,N,N,N,N
2019,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,TUBARÁ,N,PLAYA MENDOZA,S,S,S,N,S,N
2019,4,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SABANALARGA,N,ISABEL LÓPEZ,S,S,S,N,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,CANDELARIA,S,CANDELARIA,S,S,S,N,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,MALAMBO,N,CARACOLÍ,S,S,S,N,N,N
2020,4,AVANTEL S.A.S,ATLÁNTICO,SOLEDAD,S,SOLEDAD,S,N,N,N,S,N
2015,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,CANDELARIA,N,BUENAVENTURA DE LEÑA,N,N,N,N,N,N
2019,1,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SANTA LUCÍA,S,SANTA LUCÍA,S,S,S,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,CANDELARIA,N,BUENAVENTURA DE LEÑA,N,N,N,N,N,N
2018,3,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,PONEDERA,S,PONEDERA,S,S,S,N,N,N
2016,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,LURUACO,N,ARROYO DE PIEDRA,S,N,N,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,TUBARÁ,N,GUAIMARAL,S,N,N,N,N,N
2018,3,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,TUBARÁ,S,TUBARÁ,S,S,S,N,N,N
2019,1,AVANTEL S.A.S,ATLÁNTICO,POLONUEVO,S,POLONUEVO,S,N,N,N,N,N
2015,4,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,PONEDERA,S,PONEDERA,S,S,S,N,N,N
2016,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,MALAMBO,N,PITALITO,S,N,N,N,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,TUBARÁ,N,CUATRO BOCAS,N,N,N,N,N,N
2017,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,SUAN,S,SUAN,S,S,N,N,N,N
2019,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,BARANOA,N,SIBARCO,S,S,S,N,N,N
2022,1,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,SANTA CRUZ DE MOMPOX,N,LA RINCONADA,S,S,S,N,N,N
2023,3,COLOMBIA MOVIL  S.A ESP,BOLÍVAR,MAHATES,N,SAN BASILIO DE PALENQUE,N,S,S,S,N,N
2022,4,PARTNERS TELECOM COLOMBIA SAS,BOLÍVAR,MAGANGUÉ,S,MAGANGUÉ,N,S,S,S,N,N
2023,1,COLOMBIA MOVIL  S.A ESP,BOLÍVAR,MARÍA LA BAJA,S,MARÍA LA BAJA,N,S,S,S,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,EL CARMEN DE BOLÍVAR,N,SANTO DOMINGO DE MEZA,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,MAGANGUÉ,N,BOCA DE GUAMAL,N,N,N,N,N,N
2021,4,AVANTEL S.A.S,BOLÍVAR,SAN PABLO,S,SAN PABLO,S,S,S,N,N,N
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,CANTAGALLO,N,BRISAS DE BOLÍVAR,S,S,N,N,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,MAGANGUÉ,N,BARRANCA DE YUCA,S,S,S,S,N,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,ACHÍ,S,ACHÍ,S,S,S,S,N,N
2022,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,BOLÍVAR,MAGANGUÉ,N,JUAN ARIAS,N,S,S,N,N,N
2023,1,COLOMBIA MOVIL  S.A ESP,BOLÍVAR,EL CARMEN DE BOLÍVAR,N,PADULA,N,N,N,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,MARÍA LA BAJA,N,COLÚ,S,S,S,N,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,VILLANUEVA,N,ZIPACOA,S,S,N,N,N,N
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,CARTAGENA,N,ARROYO DE PIEDRA,S,S,S,N,N,N
2023,3,PARTNERS TELECOM COLOMBIA SAS,BOLÍVAR,SIMITÍ,S,SIMITÍ,N,S,S,S,N,N
2022,3,PARTNERS TELECOM COLOMBIA SAS,BOLÍVAR,REGIDOR,N,SANTA LUCÍA,N,N,N,S,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,SANTA CATALINA,N,GALERAZAMBA,S,S,S,S,N,N
2022,4,COLOMBIA MOVIL  S.A ESP,BOLÍVAR,MAHATES,S,MAHATES,N,S,S,S,N,N
2022,2,AVANTEL S.A.S,BOLÍVAR,ARENAL,S,ARENAL,S,S,S,S,N,N
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,CARTAGENA,N,ARROYO DE LAS CANOAS,S,N,N,N,N,N
2021,4,COLOMBIA MOVIL  S.A ESP,BOLÍVAR,CLEMENCIA,S,CLEMENCIA,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,SAN JACINTO,N,LAS MERCEDES,N,N,N,N,N,N
2022,4,COLOMBIA MOVIL  S.A ESP,BOLÍVAR,ARROYOHONDO,N,MACHADO,N,N,N,S,N,N
2023,3,PARTNERS TELECOM COLOMBIA SAS,BOLÍVAR,CARTAGENA,N,SANTA ANA,N,S,S,S,N,N
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,MARGARITA,N,SAN JOSÉ DE LOS TRAPICHES,S,N,N,N,N,N
2021,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,SANTA CRUZ DE MOMPOX,N,LOMA DE SIMÓN,S,N,N,N,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,ACHÍ,S,ACHÍ,S,S,S,S,N,N
2022,3,COLOMBIA MOVIL  S.A ESP,BOLÍVAR,ALTOS DEL ROSARIO,N,EL RUBIO,N,N,N,S,N,N
2021,1,COLOMBIA MOVIL  S.A ESP,BOLÍVAR,CÓRDOBA,S,CÓRDOBA,S,S,S,N,S,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,ARROYOHONDO,N,SATO,S,S,N,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,ACHÍ,N,BUENAVISTA,S,S,S,N,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,EL CARMEN DE BOLÍVAR,N,LÁZARO,S,S,N,N,N,N
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,MARGARITA,N,SAN JOSÉ DE LOS TRAPICHES,S,N,N,N,N,N
2021,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,CALAMAR,S,CALAMAR,S,S,S,N,S,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,ARROYOHONDO,N,SAN FRANCISCO (SOLABANDA),S,S,N,N,N,N
2022,3,COLOMBIA MOVIL  S.A ESP,BOLÍVAR,MARÍA LA BAJA,N,MANPUJÁN,N,S,S,S,N,N
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,CALAMAR,S,CALAMAR,S,S,S,S,N,N
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,CANTAGALLO,N,BRISAS DE BOLÍVAR,S,S,N,N,N,N
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,ARJONA,N,SINCERÍN,S,N,N,N,N,N
2022,2,AVANTEL S.A.S,BOLÍVAR,SANTA ROSA DEL SUR,S,SANTA ROSA DEL SUR,S,S,S,S,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,SIMITÍ,S,SIMITÍ,S,S,S,S,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,MARGARITA,N,SANDOVAL,S,S,S,N,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,SAN JUAN NEPOMUCENO,S,SAN JUAN NEPOMUCENO,S,S,S,S,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,SAN ESTANISLAO,S,SAN ESTANISLAO DE KOSTKA,S,S,S,S,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,PINILLOS,N,MANTEQUERA,S,N,N,N,N,N
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,SAN JUAN NEPOMUCENO,S,SAN JUAN NEPOMUCENO,S,S,S,S,N,N
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,PINILLOS,N,PALOMINO,S,N,N,N,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,MAGANGUÉ,N,FLORENCIA,S,S,S,S,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,SAN JACINTO DEL CAUCA,N,GALINDO,S,S,N,N,N,N
2022,1,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,MAGANGUÉ,S,MAGANGUÉ,S,S,S,S,N,N
2021,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,CARTAGENA,N,BAYUNCA,S,S,S,N,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,CARTAGENA,N,ARCHIPIELAGO DE SAN BERNARDO,N,S,S,S,N,N
2023,2,COLOMBIA MOVIL  S.A ESP,BOLÍVAR,MORALES,S,MORALES,N,S,S,S,N,N
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,MAGANGUÉ,N,MADRID,S,N,N,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,EL GUAMO,N,ROBLES,N,N,N,N,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,CARTAGENA,N,LAS EUROPAS,S,S,S,S,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,SAN FERNANDO,S,SAN FERNANDO,S,S,S,S,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,ARENAL,N,SAN RAFAEL,S,S,S,S,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,CARTAGENA,N,BARCELONA DE INDIAS,S,S,S,S,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,SANTA CRUZ DE MOMPOX,N,GUATACA,S,S,N,N,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,SIMITÍ,N,SAN BLAS,S,N,N,N,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,EL PEÑÓN,N,PEÑONCITO,S,S,S,N,N,N
2021,1,AVANTEL S.A.S,BOLÍVAR,SIMITÍ,S,SIMITÍ,N,N,N,N,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,SAN JACINTO,N,LAS MERCEDES,N,N,S,S,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,MAGANGUÉ,N,PLAYA DE LAS FLORES,S,N,N,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,CÓRDOBA,N,TACAMOCHITO,N,N,N,N,N,N
2021,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,BOLÍVAR,MARGARITA,S,MARGARITA,S,S,S,N,N,N
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,CICUCO,N,LA PEÑA,S,S,N,N,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,MAGANGUÉ,N,PLAYA DE LAS FLORES,S,N,N,N,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,SAN PABLO,N,POZO AZUL,S,N,N,N,N,N
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,MARGARITA,N,SAN JOSÉ DE LOS TRAPICHES,S,N,N,N,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,MARÍA LA BAJA,N,NUEVO RETÉN,S,S,S,S,N,N
2021,4,PARTNERS TELECOM COLOMBIA SAS,BOLÍVAR,TIQUISIO,S,PUERTO RICO,N,S,S,N,N,N
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,SANTA CRUZ DE MOMPOX,N,GUATACA,S,N,N,N,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,ZAMBRANO,S,ZAMBRANO,S,S,S,S,N,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,HATILLO DE LOBA,N,CERRO DE LAS AGUADAS,S,N,N,N,N,N
2022,1,AVANTEL S.A.S,BOLÍVAR,CALAMAR,S,CALAMAR,S,S,S,S,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,CALAMAR,N,HATO VIEJO,S,S,N,N,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,MAGANGUÉ,S,MAGANGUÉ,S,S,S,S,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,CARTAGENA,N,ARROYO DE LAS CANOAS,S,S,S,N,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,ARENAL,S,ARENAL,S,S,S,S,N,N
2022,1,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,TURBANÁ,S,TURBANÁ,S,S,S,S,N,N
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,BOLÍVAR,EL CARMEN DE BOLÍVAR,S,EL CARMEN DE BOLÍVAR,S,S,S,S,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,BOLÍVAR,MAGANGUÉ,N,ROMA,S,S,N,N,N,N
